arnumber,customertype,industrygroup,isterminated,customername,supportmodel,liveyear,livequarter,livemonth,vertical
CIE1001,Customer - Strategic,Technology and Professional Services,0,"Central Indiana Ethanol, LLC",CAST 1.0,2020,Qtr 4,November,MFG
CIM5000,Customer - Mid-Market,Technology and Professional Services,0,CIMA+,CAST Canada,2018,Qtr 4,November,S&D
CIR1004,Customer - Mid-Market,Sports and Entertainment,0,"CircusTrix Holdings, LLC",CAST 2.0,2019,Qtr 1,January,RETAIL
CIR1005,Customer - Mid-Market,Manufacturing,0,"Circle Graphics, Inc.",CAST 2.0,2021,Qtr 1,March,MFG
CIT1021,Customer - Enterprise,Public Sector,0,City of Detroit,Global,2018,Qtr 4,November,PUBLIC SECTOR
CIT1025,Customer - Enterprise,Finance and Insurance,0,"Citizens Bank, N.A.",Global,2018,Qtr 2,April,S&D - FIN
CIT1027,Customer - Strategic,Public Sector,0,The City of Bellevue,CAST 1.0,2018,Qtr 2,April,PUBLIC SECTOR
CIT1028,Customer - Strategic,Finance and Insurance,1,Citizens Community Federal National Association,,2018,Qtr 1,February,S&D - FIN
CIT1029,Customer - Mid-Market,Public Sector,0,City Of Loveland,CAST 2.0,2018,Qtr 4,November,PUBLIC SECTOR
CIT1030,Customer - Strategic,Public Sector,0,City Of Owatonna,CAST 1.0,2018,Qtr 2,May,PUBLIC SECTOR
CIT1031,Customer - Strategic,Public Sector,0,The City of Greenwood Village,CAST 1.0,2019,Qtr 1,January,PUBLIC SECTOR
CIT1032,Customer - Strategic,Public Sector,0,City of Jenks,CAST 1.0,2019,Qtr 4,October,PUBLIC SECTOR
CIT1033,Customer - Strategic,Finance and Insurance,0,Citizens and Farmers Bank,CAST 2.0,2020,Qtr 3,September,S&D - FIN
CIT1034,Customer - Mid-Market,Public Sector,0,City of Englewood,CAST 2.0,2021,Qtr 1,January,PUBLIC SECTOR
CIT1035,Customer - Enterprise,Retail,0,"City Furniture, Inc.",CAST 2.0,2021,Qtr 3,July,RETAIL
CIV1000,Customer - Strategic,Technology and Professional Services,0,"CivicPlus, LLC.",CAST 1.0,2018,Qtr 3,September,S&D
CLA1017,Customer - Strategic,Technology and Professional Services,0,Accenture LLP,CAST 1.0,2020,Qtr 1,January,S&D
CLA1018,Customer - Strategic,Manufacturing,0,Clark-Reliance Corporation,CAST 1.0,2020,Qtr 1,February,MFG
CLA1019,Customer - Strategic,Finance and Insurance,0,Clark Capital Management Group,CAST 1.0,2020,Qtr 2,May,S&D - FIN
CLA1020,Customer - Strategic,Retail,0,"Classic Chevrolet Sugar Land, LLC",CAST 1.0,2020,Qtr 3,July,RETAIL
CLA1021,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,Clarke County Public Hospital,CAST 1.0,2021,Qtr 1,January,HEALTHCARE
CLE1010,Customer - Strategic,Healthcare,0,Clearview Cancer Institute,CAST 1.0,2019,Qtr 3,July,HEALTHCARE
CLE1011,Customer - Mid-Market,Construction,0,"Cleveland Construction, Inc.",CAST 2.0,2019,Qtr 4,December,MFG
CLE1013,Customer - Strategic,Public Sector,0,Clear Creek County,CAST 1.0,2019,Qtr 4,December,PUBLIC SECTOR
CLE5000,Customer - Enterprise,Manufacturing,0,Clearpoint Health Network Inc,CAST Canada,2020,Qtr 2,April,HEALTHCARE
CLI1008,Customer - Enterprise,Sports and Entertainment,0,Climate Pledge Arena,CAST 2.0,2021,Qtr 2,April,RETAIL
CLO1002,Customer - Mid-Market,Manufacturing,0,ClosetMaid LLC,CAST 2.0,2018,Qtr 3,July,MFG
CLO1003,Customer - Strategic,Manufacturing,0,"Clovis Oncology, Inc.",CAST 1.0,2019,Qtr 1,January,MFG - LIFE SCI
CLO1005,Customer - Enterprise,Manufacturing,0,Clorox Services Company,Global,2019,Qtr 4,December,MFG
CLO1007,Customer - Strategic,Technology and Professional Services,0,"Clough USA, Inc.",CAST 2.0,2020,Qtr 4,November,MFG
CLU1000,Customer - Mid-Market,Technology and Professional Services,0,Clutter Inc.,CAST 2.0,2020,Qtr 1,March,S&D
CLU1001,Customer - Strategic,Technology and Professional Services,0,"Clubessential Holdings, LLC",CAST 1.0,2020,Qtr 2,June,S&D
CML5000,Customer - Strategic,Finance and Insurance,0,CMLS Financial Ltd.,CAST Canada,2021,Qtr 1,January,S&D - FIN
CNB1000,Customer - Strategic,Finance and Insurance,0,CNB Bank and Trust N.A.,CAST 1.0,2021,Qtr 3,August,S&D
COA1010,Customer - Mid-Market,Wholesale Trade,0,"Coast Aluminum, Inc.",CAST 2.0,2019,Qtr 4,December,S&D
COB1000,Customer - Enterprise,Retail,0,Coborn's Incorporated,Global,2020,Qtr 1,January,RETAIL
COD1001,Customer - Strategic,Manufacturing,0,"Codexis, Inc.",CAST 1.0,2021,Qtr 2,April,MFG
COH1002,Customer - Enterprise,Manufacturing,0,"Coherent, Inc.",CAST 2.0,2020,Qtr 3,August,MFG - LIFE SCI
COL1028,Customer - Strategic,Technology and Professional Services,0,The Columbus Organization,CAST 1.0,2018,Qtr 1,January,S&D
COL1029,Customer - Mid-Market,Healthcare,0,"Colavria Hospitality, Inc.",CAST 2.0,2018,Qtr 1,February,HEALTHCARE
COL1030,Customer - Enterprise,Sports and Entertainment,0,The Colonial Williamsburg Foundation,CAST 2.0,2021,Qtr 2,June,PUBLIC SECTOR
COL1031,Customer - Strategic,Restaurants and Hospitality,1,"College Chefs, LLC",CAST 1.0,2018,Qtr 2,May,RETAIL
COL1032,Customer - Strategic,Education,1,The College Of Saint Elizabeth,,2018,Qtr 3,July,PUBLIC SECTOR - HE
COL1033,Customer - Strategic,Agriculture and Natural Resources,0,"Coleman Agriculture, Inc.",CAST 1.0,2019,Qtr 3,July,MFG
COL1034,Customer - Strategic,Education,0,The Colburn School,CAST 1.0,2020,Qtr 3,August,RETAIL
COL1035,Customer - Mid-Market,Technology and Professional Services,0,"Cole, Scott & Kissane, P.A.",CAST 2.0,2020,Qtr 3,August,S&D
COL1036,Customer - Strategic,Wholesale Trade,0,Columbus Equipment Company,CAST 1.0,2021,Qtr 3,July,S&D
COL5000,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,College Of Nurses Of Ontario,CAST Canada,2019,Qtr 3,August,S&D
COL5001,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,College Of Physicians and Surgeons of Ontario,CAST Canada,2020,Qtr 2,June,S&D
COL5002,Customer - Mid-Market,Business Services,0,Collectcents Inc.,CAST Canada,2021,Qtr 3,July,S&D
COM1066,Customer - Strategic,Manufacturing,0,"Communications Systems, Inc.",CAST 1.0,2018,Qtr 1,January,MFG
COM1067,Customer - Enterprise,Finance and Insurance,0,Combined Insurance Company of America,CAST 2.0,2018,Qtr 4,October,S&D - FIN
COM1068,Customer - Strategic,Healthcare,0,CNS Healthcare,CAST 1.0,2018,Qtr 1,January,S&D
COM1069,Customer - Strategic,Construction,0,"Comm-Works, LLC",CAST 1.0,2018,Qtr 2,May,S&D
COM1070,Customer - Strategic,Construction,0,Community Housing Partners Corporation,CAST 2.0,2018,Qtr 3,July,MFG
COM1071,Customer - Enterprise,Manufacturing,0,"CommScope, Inc. of North Carolina",CAST 2.0,2018,Qtr 4,December,MFG
COM1072,Customer - Strategic,Healthcare,0,Common Living Inc.,CAST 1.0,2019,Qtr 1,January,S&D
COM1073,Customer - Strategic,Healthcare,0,"Community Health Connections, Inc.",CAST 1.0,2018,Qtr 4,December,HEALTHCARE
COM1074,Customer - Mid-Market,Transportation and Warehousing,0,"Comprehensive Logistics Co., LLC",CAST 2.0,2018,Qtr 4,December,S&D
COM1075,Customer - Strategic,Finance and Insurance,0,"Commonwealth Credit Union, Inc.",CAST 1.0,2019,Qtr 2,April,S&D - FIN
COM1078,Customer - Mid-Market,Healthcare,0,Comfort Bridge DBA Care  Synergy,CAST 2.0,2019,Qtr 4,October,HEALTHCARE
COM1079,Customer - Strategic,Retail,0,"Compunet, Inc.",CAST 1.0,2019,Qtr 3,July,S&D
COM1080,Customer - Strategic,Finance and Insurance,0,Community First Credit Union,CAST 2.0,2019,Qtr 4,December,S&D - FIN
COM1081,Customer - Strategic,Finance and Insurance,0,Community Health Plan of Washington,CAST 2.0,2020,Qtr 2,June,HEALTHCARE
COM1082,Customer - Strategic,Real Estate,0,"Community Realty Management, Inc.",CAST 1.0,2020,Qtr 2,June,S&D
COM1083,Customer - Enterprise,Technology and Professional Services,0,"Computer Generated Solutions, Inc.",CAST 2.0,2021,Qtr 1,January,S&D
COM1084,Customer - Mid-Market,Healthcare,0,"Community Medical Services Holdings, LLC",CAST 2.0,2021,Qtr 1,January,HEALTHCARE
COM1085,Customer - Strategic,Technology and Professional Services,0,Command Alkon Incorporated,CAST 2.0,2021,Qtr 2,April,S&D
COM1086,Customer - Strategic,Technology and Professional Services,0,"CompTech Computer Technologies, Inc.",CAST 1.0,2021,Qtr 2,May,
COM1088,Customer - Strategic,Wholesale Trade,0,"Combined Metals Of Chicago, L.L.C.",CAST 1.0,2021,Qtr 3,August,S&D
COM1089,Customer - Strategic,Construction,0,"Comstock Holding Companies, Inc.",CAST 1.0,2021,Qtr 3,July,MFG
COM1090,Customer - Strategic,Healthcare,0,"Community Care of West Virginia, Inc.",CAST 1.0,2021,Qtr 3,August,HEALTHCARE
COM1091,Customer - Enterprise,Manufacturing,0,"Commonwealth Rolled Products, Inc.",CAST 2.0,2021,Qtr 3,September,MFG
CON1051,Customer - Strategic,Real Estate,0,"Continental Properties Company, Inc",CAST 1.0,2018,Qtr 2,April,S&D
CON1052,Customer - Strategic,Construction,1,ContiCo Corp.,,2018,Qtr 1,January,MFG
CON1054,Customer - Strategic,Finance and Insurance,0,Consumers Cooperative,CAST 1.0,2018,Qtr 2,May,S&D - FIN
CON1056,Customer - Enterprise,Restaurants and Hospitality,0,"Concessions International, LLC",CAST 2.0,2018,Qtr 3,July,RETAIL
CON1057,Customer - Mid-Market,Healthcare,0,"Synergy Healthcare Associates, P.L.L.C.",CAST 1.0,2018,Qtr 4,October,HEALTHCARE
CON1058,Customer - Strategic,Retail,0,"Conner Industries, Inc.",CAST 1.0,2019,Qtr 1,January,S&D
CON1059,Customer - Mid-Market,Technology and Professional Services,0,Consilio LLC,Global,2019,Qtr 1,January,S&D
CON1060,Customer - Strategic,Technology and Professional Services,1,"Constellation Behavioral Health, LLC",CAST 1.0,2018,Qtr 4,December,HEALTHCARE
CON1061,Customer - Strategic,Finance and Insurance,0,Congressional Federal Credit Union,CAST 1.0,2019,Qtr 3,July,S&D - FIN
CON1062,Customer - Enterprise,Real Estate,0,ConAm Management Corporation,CAST 2.0,2019,Qtr 4,October,S&D
CON1063,Customer - Strategic,Wholesale Trade,1,"Construction Materials, Inc.",CAST 1.0,2019,Qtr 3,July,S&D
CON1066,Customer - Strategic,Technology and Professional Services,0,Convo Communications Inc.,CAST 1.0,2020,Qtr 1,January,S&D
CON1067,Customer - Strategic,Manufacturing,0,Continental Battery company,CAST 1.0,2019,Qtr 4,December,S&D
CON1068,Customer - Strategic,Wholesale Trade,0,Continental Office,CAST 1.0,2020,Qtr 1,January,S&D
CON1069,Customer - Enterprise,Media and Publishing Services,0,"Consumer Reports, Inc.",CAST 1.0,2020,Qtr 2,June,S&D
CON1070,Customer - Mid-Market,Wholesale Trade,0,"Confluent Health, LLC",CAST 2.0,2020,Qtr 2,April,HEALTHCARE
CON1071,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,Contra Costa ARC,CAST 1.0,2020,Qtr 4,October,PUBLIC SECTOR
CON1073,Customer - Strategic,Manufacturing,0,Conax Technologies,CAST 1.0,2020,Qtr 3,September,MFG
CON1074,Customer - Enterprise,Business Services,0,Convergint Technologies LLC,Global,2021,Qtr 2,April,S&D
CON1075,Customer - Enterprise,Business Services,0,"Connexus Resource Group, Inc.",CAST 2.0,2020,Qtr 4,November,S&D
CON1079,Customer - Strategic,Transportation and Warehousing,0,Connor Co.,CAST 1.0,2021,Qtr 3,August,S&D
CON5002,Customer - Mid-Market,Construction,0,Contracts Glaziers Corp.,CAST Canada,2019,Qtr 2,June,S&D
CON5003,Customer - Strategic,Technology and Professional Services,0,Convertus Group Ltd.,CAST Canada,2021,Qtr 2,May,S&D
COO1008,Customer - Strategic,Technology and Professional Services,0,"Cooper Carry, Inc.",CAST 1.0,2021,Qtr 3,August,S&D
COR1021,Customer - Enterprise,Healthcare,0,"Corizon Health, Inc.",CAST 2.0,2020,Qtr 1,January,HEALTHCARE
COR1025,Customer - Enterprise,Business Services,0,CorVel Corporation,CAST 2.0,2018,Qtr 1,January,MFG
COR1029,Customer - Mid-Market,Finance and Insurance,0,"Cornerstone Home Lending, Inc.",CAST 2.0,2019,Qtr 1,January,S&D - FIN
COR1030,Customer - Enterprise,Transportation and Warehousing,0,Corodata Corporation,CAST 1.0,2019,Qtr 3,July,S&D
COR1031,Customer - Enterprise,Transportation and Warehousing,0,Corovan Corporation,CAST 1.0,2019,Qtr 3,July,S&D
COR1033,Customer - Mid-Market,Manufacturing,0,"Corrugated Supplies Company, LLC",CAST 2.0,2020,Qtr 2,May,MFG
COR1034,Customer - Strategic,Real Estate,0,Coresite,CAST 1.0,2020,Qtr 4,October,S&D
COR5000,Customer - Strategic,"Technology, Professional, and Business Services",0,Cority,CAST Canada,2021,Qtr 1,January,S&D
COT1002,Customer - Strategic,Construction,0,"Cottage Senior Living, Inc.",CAST 1.0,2020,Qtr 1,March,S&D
COT1003,Customer - Strategic,Manufacturing,0,"COTSWORKS, LLC",CAST 1.0,2021,Qtr 1,March,MFG
COU1007,Customer - Strategic,Restaurants and Hospitality,0,"Cousins Subs Systems, Inc.",CAST 1.0,2019,Qtr 2,April,RETAIL
COU1008,Customer - Strategic,Healthcare,0,Country Doctor Community Health Centers,CAST 1.0,2020,Qtr 1,January,HEALTHCARE
COU1009,Customer - Strategic,Technology and Professional Services,0,"Couchbase, Inc.",CAST 1.0,2021,Qtr 3,July,S&D
COU5000,Customer - Strategic,Agriculture and Natural Resources,0,Coulson Forest Products Limited,CAST Canada,2021,Qtr 3,September,MFG
COV1008,Customer - Mid-Market,Real Estate,0,Cove Property Management LP,CAST 1.0,2019,Qtr 2,April,RETAIL
COV1009,Customer - Enterprise,Manufacturing,0,Covia Holdings Corporation,CAST 2.0,2019,Qtr 4,December,MFG - ENERGY
COW1000,Customer - Strategic,Wholesale Trade,0,"Cowin Equipment Company, Inc.",CAST 1.0,2020,Qtr 2,June,S&D
CPG1000,Customer - Enterprise,Manufacturing,0,"CPG International LLC, d/b/a The AZEK Company LLC",CAST 2.0,2018,Qtr 4,December,MFG
CQU1000,Customer - Mid-Market,Wholesale Trade,0,CQuence Health Group,CAST 1.0,2020,Qtr 1,February,MFG - LIFE SCI
CRA1006,Customer - Strategic,Technology and Professional Services,0,"Craneware, Inc.",CAST 1.0,2021,Qtr 1,January,S&D
CRE1014,Customer - Mid-Market,Finance and Insurance,0,Credit Human Federal Credit Union,CAST 2.0,2018,Qtr 1,January,S&D - FIN
CRE1015,Customer - Strategic,Business Services,0,"Mammoth Tech, Inc.",CAST 1.0,2018,Qtr 4,December,S&D
CRE1016,Customer - Enterprise,Finance and Insurance,0,Creditcorp,CAST 2.0,2018,Qtr 4,December,S&D - FIN
CRE1020,Customer - Strategic,Sports and Entertainment,0,Creative Discovery Museum,CAST 1.0,2019,Qtr 4,October,RETAIL
CRE1022,Customer - Strategic,Technology and Professional Services,0,Crete Mechanical  Inc.,CAST 2.0,2021,Qtr 2,June,
CRH1000,Customer - Strategic,Healthcare,0,"CRH Healthcare, LLC",CAST 1.0,2018,Qtr 2,April,HEALTHCARE
CRI1003,Customer - Mid-Market,Healthcare,0,"Critical Nurse Staffing, LLC",CAST 2.0,2019,Qtr 3,July,S&D
CRI5000,Customer - Strategic,Technology and Professional Services,0,Critical Control Energy Services Corp.,CAST Canada,2019,Qtr 2,April,S&D
CRO1009,Customer - Strategic,Wholesale Trade,0,"Cross Technologies, Inc.",CAST 1.0,2018,Qtr 1,January,S&D
CRO1010,Customer - Enterprise,Technology and Professional Services,0,Crown Castle USA Inc.,Global,2018,Qtr 4,October,S&D
CRO1011,Customer - Strategic,Media and Publishing Services,0,Crossway,CAST 1.0,2019,Qtr 1,March,MFG
CRO1012,Customer - Strategic,Finance and Insurance,0,Crossfirst Bank,CAST 1.0,2019,Qtr 4,October,S&D - FIN
CRO1013,Customer - Strategic,Real Estate,0,"Crow Family, Inc.",CAST 2.0,2019,Qtr 4,October,S&D
CRO5000,Customer - Strategic,Education,0,Crofton House School,CAST Canada,2019,Qtr 3,July,PUBLIC SECTOR - K12
CRO5001,Customer - Strategic,Finance and Insurance,0,Croix Bleue du Quebec,CAST Canada,2019,Qtr 4,December,S&D
CRU1002,Customer - Enterprise,Sports and Entertainment,0,"Crunch, LLC",CAST 2.0,2018,Qtr 2,April,RETAIL
CSC1000,Customer - Enterprise,Manufacturing,0,"CSC Serviceworks, Inc.",CAST 2.0,2018,Qtr 4,December,S&D
CSL5000,Customer - Strategic,Construction,0,The CSL Group Inc.,CAST Canada,2020,Qtr 2,April,S&D
CSS1002,Customer - Strategic,Agriculture and Natural Resources,0,"CSS Farms, LLC",CAST 2.0,2019,Qtr 1,January,MFG
CSW1002,Customer - Mid-Market,Manufacturing,0,"CSW Industrials, Inc.",CAST 2.0,2019,Qtr 3,July,MFG
CTL1000,Customer - Strategic,Business Services,0,"CTL Global, Inc. - Arrow Messenger Service, Inc.",CAST 1.0,2018,Qtr 1,January,S&D
CUL1003,Customer - Mid-Market,Retail,0,Culligan Soft Water Service Company,CAST 2.0,2018,Qtr 1,January,RETAIL
CUL1004,Customer - Mid-Market,Business Services,0,"Culver Franchising System, LLC",CAST 1.0,2018,Qtr 3,July,RETAIL
CUL1005,Customer - Strategic,Technology and Professional Services,0,"Cultural Vistas, Inc.",CAST 1.0,2019,Qtr 2,April,PUBLIC SECTOR - K12
CUL1006,Customer - Strategic,Technology and Professional Services,0,"Culmen International, LLC",CAST 1.0,2020,Qtr 2,May,S&D
CUN1001,Customer - Strategic,"Non-Profits, Membership, and Human Services",1,"Cuningham Group Architecture, Inc.",,2018,Qtr 1,January,S&D
CUN1002,Customer - Strategic,Healthcare,0,"Cunningham Children's Home of Urbana, Ilinois",CAST 1.0,2021,Qtr 1,February,HEALTHCARE
CUR1002,Customer - Strategic,Wholesale Trade,0,"Curbell, Inc.",CAST 1.0,2018,Qtr 4,October,S&D
CUS1003,Customer - Mid-Market,Finance and Insurance,0,"Custard Insurance Adjusters, Inc.",CAST 1.0,2019,Qtr 1,January,S&D
CWB5000,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,CWB Group - Industry Services,CAST Canada,2019,Qtr 3,September,S&D
CWR1000,Customer - Enterprise,"Non-Profits, Membership, and Human Services",0,"CW Resources,Inc.",CAST 2.0,2021,Qtr 1,January,PUBLIC SECTOR
CYB1002,Customer - Strategic,Technology and Professional Services,0,Cybereason Inc.,CAST 1.0,2019,Qtr 1,January,S&D
CYG1000,Customer - Enterprise,Retail,0,"Cygnus Home Service, LLC d/b/a Schwan's Home Service",Global,2019,Qtr 4,December,MFG
CYX1000,Customer - Enterprise,Technology and Professional Services,0,"Cyxtera Technologies, LLC",CAST 2.0,2020,Qtr 2,June,S&D
DAC1001,Customer - Strategic,Healthcare,0,"Dacco Behavioral Health, Inc.",CAST 1.0,2020,Qtr 4,November,HEALTHCARE
DAL1002,Customer - Strategic,,0,Dalton U.S. Inc.,CAST 1.0,2021,Qtr 1,January,S&D
DAN1003,Customer - Mid-Market,Retail,0,Daniels Jewelers,CAST 1.0,2019,Qtr 1,January,RETAIL
DAN1004,Customer - Mid-Market,Restaurants and Hospitality,0,"Dan's Management Company, LLC",CAST 1.0,2019,Qtr 2,April,RETAIL
DAN1005,Customer - Strategic,Manufacturing,0,"Danville Metal Stamping Co., Inc.",CAST 1.0,2019,Qtr 4,December,MFG
DAN1006,Customer - Mid-Market,,0,"Danbury Mission Technologies, LLC",CAST 2.0,2021,Qtr 1,January,S&D
DAN5000,Customer - Mid-Market,Business Services,0,Dana Hospitality LP,CAST Canada,2018,Qtr 4,December,S&D
DAN5001,Customer - Strategic,Wholesale Trade,0,Danby Products Limited,CAST Canada,2020,Qtr 1,January,S&D
DAR1001,Customer - Enterprise,Manufacturing,0,"Darigold, Inc.",CAST 2.0,2018,Qtr 1,January,MFG
DAR1002,Customer - Strategic,Finance and Insurance,1,DR BANK,CAST 1.0,2018,Qtr 1,January,S&D - FIN
DAS1001,Customer - Strategic,Healthcare,0,"Dascena, Inc.",CAST 2.0,2021,Qtr 3,September,S&D
DAT1006,Customer - Mid-Market,Technology and Professional Services,0,"Data Dimensions,LLC",CAST 2.0,2018,Qtr 1,January,S&D
DAT1011,Customer - Strategic,,0,"Dataprise, LLC",CAST 1.0,2020,Qtr 3,July,S&D
DAV5000,Customer - Mid-Market,Technology and Professional Services,0,DWPV Services Limited Partnership,CAST Canada,2021,Qtr 1,January,S&D
DAY1006,Customer - Enterprise,Transportation and Warehousing,0,"Dayton Freight Lines, Inc.",CAST 2.0,2018,Qtr 2,April,S&D
DAY1007,Customer - Strategic,Retail,0,Day Wireless Systems,CAST 1.0,2019,Qtr 4,December,S&D
DAY1008,Customer - Strategic,Manufacturing,0,"Dayton-Granger, Inc.",CAST 1.0,2020,Qtr 1,February,MFG
DAY1009,Customer - Mid-Market,Wholesale Trade,0,"Daybreak Foods, Inc.",CAST 2.0,2021,Qtr 1,January,S&D
DCA1000,Customer - Mid-Market,Finance and Insurance,0,DC Advisory,CAST 1.0,2020,Qtr 3,July,S&D - FIN
DEA1004,Customer - Strategic,Technology and Professional Services,0,Dealmoon,CAST 1.0,2019,Qtr 1,February,S&D
DEB5000,Customer - Strategic,Wholesale Trade,0,Debco Bag Distributors ULC,CAST Canada,2019,Qtr 4,December,S&D
DEC1004,Customer - Strategic,Retail,0,"Decibel Therapeutics, Inc.",CAST 1.0,2019,Qtr 2,June,MFG - LIFE SCI
DEF1000,Customer - Enterprise,Business Services,0,"DEFENDERS, Inc.",CAST 2.0,2019,Qtr 2,June,S&D
DEK1001,Customer - Strategic,Wholesale Trade,0,"DEKRA North America, Inc.",CAST 2.0,2019,Qtr 4,December,S&D
DEL1013,Customer - Mid-Market,Transportation and Warehousing,0,"Del Monte Fresh Produce N.A., Inc.",CAST 2.0,2019,Qtr 2,April,S&D
DEL1015,Customer - Strategic,Finance and Insurance,0,Delta Dental of Missouri,CAST 1.0,2018,Qtr 4,December,S&D - FIN
DEL1019,Customer - Strategic,Public Sector,0,"Delta Defense, LLC",CAST 2.0,2021,Qtr 2,April,S&D
DEN1007,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,"Denver Zoological Foundation, Inc.",CAST 1.0,2019,Qtr 4,December,PUBLIC SECTOR
DEN1008,Customer - Mid-Market,Business Services,0,"Denali Water Solutions, LLC",CAST 2.0,2020,Qtr 2,June,S&D
DER1004,Customer - Strategic,Healthcare,0,"Dermatology Medical Partners, LLC",CAST 1.0,2019,Qtr 2,June,HEALTHCARE
DES1003,Customer - Strategic,Sports and Entertainment,0,Des Moines Performing Arts,CAST 1.0,2019,Qtr 1,January,S&D
DES1004,Customer - Mid-Market,Finance and Insurance,0,Desert Financial Credit Union,CAST 2.0,2019,Qtr 2,April,S&D - FIN
DES1005,Customer - Strategic,Technology and Professional Services,0,"DeSimone Consulting Engineering Group, LLC",CAST 1.0,2019,Qtr 3,July,S&D - FIN
DES1006,Customer - Strategic,Healthcare,0,"Des Moines Orthopaedic Surgeons, P.C.",CAST 1.0,2020,Qtr 3,August,HEALTHCARE
DES5000,Customer - Strategic,,0,Destination Canada,CAST Canada,2021,Qtr 1,January,PUBLIC SECTOR
DEV1008,Customer - Enterprise,Education,1,"DeVry University, Inc.",CAST 2.0,2018,Qtr 3,July,PUBLIC SECTOR - HE
DEV1009,Customer - Enterprise,Education,0,"Developmental Disabilities Institute, Inc.",CAST 2.0,2020,Qtr 3,September,PUBLIC SECTOR - K12
DHR1000,Customer - Strategic,Business Services,0,"DHRInternational, Inc.",CAST 1.0,2021,Qtr 3,August,S&D
DIA1005,Customer - Strategic,Healthcare,0,"Diablo Valley Oncology and Hematology Medical Group, Inc.",CAST 1.0,2019,Qtr 1,January,HEALTHCARE
DIA1006,Customer - Strategic,Healthcare,0,"Diamond Braces, LLC",CAST 1.0,2019,Qtr 3,September,HEALTHCARE
DIA5000,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,Dialogue Technologies Inc.,CAST Canada,2020,Qtr 4,November,HEALTHCARE
DIG1004,Customer - Strategic,Technology and Professional Services,1,Digital Reasoning Systems Inc,CAST 1.0,2020,Qtr 1,January,S&D
DIG1005,Customer - Mid-Market,Real Estate,0,"Digital Realty Trust, L.P.",CAST 2.0,2021,Qtr 1,January,S&D
DIM1001,Customer - Mid-Market,Healthcare,0,"Dimock Community Foundation, Inc",CAST 1.0,2021,Qtr 2,June,HEALTHCARE
DIR1002,Customer - Strategic,Finance and Insurance,0,"Directions Credit Union, Inc",CAST 1.0,2018,Qtr 1,January,S&D - FIN
DIR1003,Customer - Strategic,Business Services,0,"Direct ChassisLink, Inc.",CAST 2.0,2018,Qtr 3,July,S&D
DIR5001,Customer - Mid-Market,"Non-Profits, Membership, and Human Services",0,Direct Action In Support of Community Homes Incorporated,CAST Canada,2018,Qtr 1,February,PUBLIC SECTOR
DIS1009,Customer - Mid-Market,Healthcare,0,DispatchHealth,CAST 2.0,2021,Qtr 1,March,HEALTHCARE
DIV1005,Customer - Enterprise,Business Services,0,"Diversified Maintenance System, LLC",Global,2021,Qtr 1,January,S&D
DMB1000,Customer - Mid-Market,Construction,0,DMB Sports Clubs Limited Partnership d/b/a Village Health Clubs & Spas,CAST 2.0,2018,Qtr 3,August,RETAIL
DNC1000,Customer - Strategic,"Non-Profits, Membership, and Human Services",0,DNC Services Corp.,CAST 1.0,2019,Qtr 1,March,S&D
DOC1001,Customer - Mid-Market,Wholesale Trade,0,The Doctors Management Company,CAST 2.0,2019,Qtr 4,October,S&D - FIN
DOC1002,Customer - Strategic,Wholesale Trade,0,"DOCUmation, Inc.",CAST 1.0,2020,Qtr 3,July,S&D
DOL1000,Customer - Strategic,Retail,1,"Dolan Automotive Group, LLC",CAST 1.0,2019,Qtr 1,January,RETAIL
DOL1001,Customer - Enterprise,Manufacturing,0,"Dolby Laboratories, Inc.",CAST 2.0,2021,Qtr 1,January,RETAIL
DOM1001,Customer - Mid-Market,Construction,0,"Dominium Management Services, LLC",CAST 2.0,2018,Qtr 3,July,S&D
DOM1002,Customer - Mid-Market,Construction,0,"Dominion Development Group, LLC",CAST 2.0,2021,Qtr 1,January,HEALTHCARE
DON1001,Customer - Enterprise,Construction,0,"The Donohoe Companies, Inc.",CAST 2.0,2019,Qtr 4,December,MFG
DOW1001,Customer - Strategic,Technology and Professional Services,0,DOWL,CAST 1.0,2018,Qtr 4,December,MFG - ENERGY
DRA1003,Customer - Mid-Market,Real Estate,0,Draper and Kramer Mortgage Corp.,CAST 1.0,2021,Qtr 1,January,S&D
DRA1004,Customer - Strategic,Technology and Professional Services,0,"Dragos, Inc.",CAST 1.0,2021,Qtr 3,August,
DRA1005,Customer - Mid-Market,Technology and Professional Services,0,"Drake Software, LLC",CAST 2.0,2021,Qtr 2,May,S&D
DRB1000,Customer - Strategic,Finance and Insurance,1,"DRB Capital, LLC",CAST 1.0,2018,Qtr 1,January,S&D - FIN
DRB1001,Customer - Strategic,Technology and Professional Services,0,"DRB Systems, LLC",CAST 1.0,2021,Qtr 2,April,S&D
DRE5000,Customer - Mid-Market,Real Estate,0,Dream Office Management Corp.,CAST Canada,2019,Qtr 1,January,S&D
DRI1006,Customer - Enterprise,Wholesale Trade,0,"Driscoll's, Inc.",AM Classic,2018,Qtr 3,July,S&D
